,id,Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит
290,215638,Снизилась,стандарт,да,2.4,4,549,0.3,Кухонная посуда,1,6,3,2
291,215639,Снизилась,премиум,да,2.7,5,845,0.32,Товары для детей,2,2,5,4
292,215640,Снизилась,стандарт,да,2.4,4,251,0.32,Техника для красоты и здоровья,2,7,1,5
293,215641,Снизилась,премиум,да,4.1,4,666,0.99,Товары для детей,2,3,7,6
294,215642,Снизилась,премиум,да,3.8,4,962,0.3,Косметика и аксесуары,2,2,2,5
295,215643,Снизилась,премиум,да,4.8,4,672,0.39,Товары для детей,1,5,4,6
296,215644,Снизилась,премиум,да,3.5,5,929,0.99,Техника для красоты и здоровья,3,3,4,5
297,215645,Снизилась,стандарт,да,4.4,4,582,0.99,Косметика и аксесуары,1,4,2,4
298,215646,Снизилась,стандарт,нет,2.9,3,657,0.24,Товары для детей,4,0,3,4
299,215647,Снизилась,стандарт,да,3.9,5,529,0.22,Товары для детей,2,7,2,2
300,215648,Снизилась,стандарт,да,3.0,5,537,0.27,Кухонная посуда,3,6,5,2
301,215649,Снизилась,стандарт,да,4.6,4,718,0.32,Товары для детей,1,5,5,3
302,215650,Снизилась,стандарт,нет,3.1,3,810,0.89,Домашний текстиль,4,4,4,3
303,215651,Снизилась,стандарт,нет,2.4,3,715,0.4,Кухонная посуда,3,5,5,5
304,215652,Снизилась,стандарт,да,5.6,3,805,0.99,Домашний текстиль,2,1,3,4
305,215653,Снизилась,стандарт,нет,5.6,5,181,0.31,Мелкая бытовая техника и электроника,1,5,3,4
306,215654,Снизилась,премиум,нет,1.4,4,684,0.94,Товары для детей,3,6,1,6
307,215655,Снизилась,стандарт,да,3.9,4,819,0.94,Товары для детей,1,9,4,2
308,215656,Снизилась,стандарт,да,3.8,5,217,0.39,Косметика и аксесуары,2,2,5,4
309,215657,Снизилась,премиум,да,5.6,5,736,0.32,Косметика и аксесуары,2,4,5,4
310,215658,Снизилась,стандарт,нет,5.6,5,163,0.36,Товары для детей,1,3,3,2
311,215659,Снизилась,стандарт,нет,1.4,3,822,0.36,Товары для детей,2,5,7,6
312,215660,Снизилась,стандарт,да,4.0,5,618,0.39,Товары для детей,2,4,5,2
313,215661,Снизилась,стандарт,да,3.5,3,1012,0.4,Техника для красоты и здоровья,4,5,3,5
314,215662,Снизилась,стандарт,да,2.9,3,441,0.39,Товары для детей,2,0,1,7
315,215663,Снизилась,стандарт,да,2.6,4,302,0.28,Товары для детей,1,2,5,4
316,215664,Снизилась,премиум,да,3.4,4,822,0.21,Кухонная посуда,3,4,2,3
317,215665,Снизилась,стандарт,нет,3.8,3,732,0.25,Домашний текстиль,3,5,2,3
318,215666,Снизилась,стандарт,да,3.5,5,703,0.22,Товары для детей,2,2,8,2
319,215667,Снизилась,премиум,да,3.0,4,467,0.95,Косметика и аксесуары,2,6,7,3
320,215668,Снизилась,премиум,да,4.4,4,343,0.94,Товары для детей,2,9,2,2
321,215669,Снизилась,стандарт,да,4.1,3,551,0.94,Товары для детей,2,3,3,5
322,215670,Снизилась,стандарт,да,4.1,4,490,0.98,Кухонная посуда,3,7,3,2
323,215671,Снизилась,премиум,да,4.0,4,820,0.22,Косметика и аксесуары,1,4,8,6
324,215672,Снизилась,стандарт,да,4.4,5,261,0.31,Кухонная посуда,1,6,1,2
325,215673,Снизилась,стандарт,нет,2.4,5,340,0.4,Домашний текстиль,1,5,1,3
326,215674,Снизилась,стандарт,да,3.0,4,304,0.25,Домашний текстиль,1,6,5,3
327,215675,Снизилась,стандарт,да,5.5,5,726,0.16,Товары для детей,4,5,7,5
328,215676,Снизилась,стандарт,да,4.2,3,280,0.17,Домашний текстиль,1,2,3,14
329,215677,Снизилась,премиум,да,4.6,4,993,0.24,Домашний текстиль,2,3,9,11
330,215678,Снизилась,стандарт,да,5.2,4,205,0.11,Техника для красоты и здоровья,2,3,2,5
331,215679,Снизилась,стандарт,нет,5.5,3,712,0.95,Домашний текстиль,2,0,6,11
332,215680,Снизилась,премиум,да,4.4,4,844,0.3,Товары для детей,1,5,3,15
333,215681,Снизилась,стандарт,нет,4.8,3,788,0.21,Товары для детей,2,3,7,16
334,215682,Снизилась,премиум,да,5.8,3,724,0.17,Косметика и аксесуары,1,1,3,6
335,215683,Снизилась,премиум,да,4.4,4,190,0.13,Домашний текстиль,1,4,2,10
336,215684,Снизилась,стандарт,да,3.6,4,785,0.3,Товары для детей,2,1,3,11
337,215685,Снизилась,стандарт,нет,4.4,5,517,0.23,Товары для детей,1,2,5,11
338,215686,Снизилась,стандарт,нет,4.3,4,460,0.16,Техника для красоты и здоровья,2,1,3,6
339,215687,Снизилась,стандарт,да,3.9,4,627,0.24,Товары для детей,3,3,7,8
340,215688,Снизилась,стандарт,да,5.5,4,703,0.14,Мелкая бытовая техника и электроника,2,1,3,7
341,215689,Снизилась,стандарт,нет,5.0,4,136,0.27,Товары для детей,3,4,4,17
342,215690,Снизилась,стандарт,да,4.8,4,907,0.3,Косметика и аксесуары,2,1,1,6
343,215691,Снизилась,стандарт,нет,3.9,5,600,0.17,Домашний текстиль,1,7,4,10
344,215692,Снизилась,стандарт,да,3.3,3,871,0.2,Техника для красоты и здоровья,2,4,2,17
345,215693,Снизилась,стандарт,да,5.6,5,574,0.28,Домашний текстиль,3,2,3,9
346,215694,Снизилась,премиум,да,5.5,5,982,0.94,Мелкая бытовая техника и электроника,3,1,8,10
347,215695,Снизилась,стандарт,да,4.3,4,324,0.14,Техника для красоты и здоровья,2,7,4,4
348,215696,Снизилась,премиум,да,3.4,3,384,0.98,Кухонная посуда,1,9,4,3
349,215697,Снизилась,премиум,да,3.9,4,935,0.39,Техника для красоты и здоровья,3,2,6,4
350,215698,Снизилась,стандарт,да,3.5,4,685,0.89,Техника для красоты и здоровья,2,9,3,3
351,215699,Снизилась,стандарт,нет,4.1,3,811,0.93,Косметика и аксесуары,4,1,5,8
352,215700,Снизилась,премиум,да,3.1,4,681,0.27,Косметика и аксесуары,1,5,6,7
353,215701,Снизилась,стандарт,да,0.9,4,212,0.95,Домашний текстиль,2,5,4,2
354,215702,Снизилась,стандарт,нет,1.7,4,188,0.89,Товары для детей,2,0,4,2
355,215703,Снизилась,стандарт,нет,2.4,5,711,0.22,Косметика и аксесуары,2,6,2,6
356,215704,Снизилась,стандарт,да,2.4,5,485,0.28,Товары для детей,3,0,3,2
357,215705,Снизилась,премиум,нет,0.9,4,657,0.99,Домашний текстиль,2,4,2,5
358,215706,Снизилась,стандарт,да,3.5,5,730,0.94,Товары для детей,2,3,7,6
359,215707,Снизилась,премиум,да,3.4,5,484,0.21,Косметика и аксесуары,2,4,3,8
360,215708,Снизилась,премиум,да,3.9,3,570,0.4,Кухонная посуда,3,8,2,3
361,215709,Снизилась,стандарт,нет,4.6,5,352,0.89,Домашний текстиль,1,3,2,6
362,215710,Снизилась,премиум,да,3.5,3,658,0.98,Товары для детей,3,0,2,5
363,215711,Снизилась,премиум,да,2.4,5,1065,0.3,Косметика и аксесуары,3,5,1,4
364,215712,Снизилась,премиум,да,3.5,4,794,0.93,Кухонная посуда,3,7,8,6
365,215713,Снизилась,стандарт,да,4.6,5,293,0.24,Товары для детей,1,3,3,3
366,215714,Снизилась,стандарт,да,3.8,5,694,0.4,Кухонная посуда,3,7,4,6
367,215715,Снизилась,премиум,да,3.6,5,873,0.39,Товары для детей,3,2,2,5
368,215716,Снизилась,стандарт,да,2.4,4,952,0.3,Техника для красоты и здоровья,3,5,2,3
369,215717,Снизилась,стандарт,да,4.8,4,507,0.98,Косметика и аксесуары,2,0,4,3
370,215718,Снизилась,стандарт,нет,3.1,5,447,0.25,Домашний текстиль,2,4,6,4
371,215719,Снизилась,премиум,да,2.4,5,460,0.22,Косметика и аксесуары,1,6,8,4
372,215720,Снизилась,премиум,да,3.9,4,449,0.4,Косметика и аксесуары,3,1,1,5
373,215721,Снизилась,стандарт,да,3.9,4,906,0.33,Товары для детей,3,1,3,1
374,215722,Снизилась,премиум,да,3.9,3,646,0.39,Косметика и аксесуары,3,1,6,7
375,215723,Снизилась,премиум,да,3.8,4,444,0.94,Кухонная посуда,2,4,3,2
376,215724,Снизилась,стандарт,нет,2.4,3,731,0.22,Домашний текстиль,3,3,3,4
377,215725,Снизилась,стандарт,да,2.4,5,846,0.4,Товары для детей,2,4,4,5
378,215726,Снизилась,стандарт,да,5.6,5,402,0.22,Мелкая бытовая техника и электроника,2,4,4,5
379,215727,Снизилась,стандарт,да,4.4,4,598,0.39,Косметика и аксесуары,2,3,5,5
380,215728,Снизилась,стандарт,нет,4.0,3,780,0.3,Косметика и аксесуары,4,0,2,6
381,215729,Снизилась,стандарт,да,3.9,4,791,0.93,Кухонная посуда,4,0,2,5
382,215730,Снизилась,стандарт,да,3.1,4,196,0.4,Мелкая бытовая техника и электроника,1,4,3,5
383,215731,Снизилась,стандарт,да,3.5,4,800,0.22,Домашний текстиль,4,5,2,4
384,215732,Снизилась,стандарт,нет,3.5,4,663,0.98,Косметика и аксесуары,3,6,4,3
385,215733,Снизилась,стандарт,нет,4.0,4,482,0.24,Косметика и аксесуары,2,8,1,5
386,215734,Снизилась,премиум,да,3.8,4,1051,0.22,Косметика и аксесуары,2,4,3,7
387,215735,Снизилась,премиум,нет,4.6,4,511,0.99,Косметика и аксесуары,2,2,5,4
388,215736,Снизилась,премиум,да,5.6,3,540,0.36,Косметика и аксесуары,2,4,2,8
389,215737,Снизилась,стандарт,да,0.9,4,225,0.36,Косметика и аксесуары,2,4,2,3
390,215738,Снизилась,премиум,нет,4.6,5,187,0.23,Мелкая бытовая техника и электроника,1,3,3,2
391,215739,Снизилась,стандарт,нет,3.4,4,875,0.25,Мелкая бытовая техника и электроника,2,3,1,3
392,215740,Снизилась,премиум,нет,3.5,4,769,0.3,Домашний текстиль,3,3,6,7
393,215741,Снизилась,стандарт,да,4.8,4,563,0.94,Товары для детей,1,5,7,4
394,215742,Снизилась,стандарт,да,4.6,4,373,0.25,Мелкая бытовая техника и электроника,2,2,2,5
395,215743,Снизилась,премиум,да,4.1,4,375,0.32,Косметика и аксесуары,1,6,3,3
396,215744,Снизилась,стандарт,да,1.7,5,439,0.31,Кухонная посуда,1,5,2,1
397,215745,Снизилась,стандарт,да,1.7,4,550,0.94,Мелкая бытовая техника и электроника,4,1,3,6
398,215746,Снизилась,премиум,да,4.4,4,987,0.35,Техника для красоты и здоровья,3,1,8,6
399,215747,Снизилась,стандарт,да,3.5,5,452,0.93,Товары для детей,1,5,5,4
400,215748,Прежний уровень,стандартт,нет,4.3,4,534,0.18,Кухонная посуда,3,1,4,10
401,215749,Прежний уровень,премиум,да,5.8,5,624,0.3,Техника для красоты и здоровья,4,3,6,14
402,215750,Прежний уровень,стандарт,да,4.8,5,634,0.21,Товары для детей,4,5,3,10
403,215751,Прежний уровень,стандарт,да,4.1,4,957,0.17,Техника для красоты и здоровья,5,2,6,9
404,215752,Прежний уровень,стандарт,нет,4.0,4,475,0.3,Мелкая бытовая техника и электроника,3,3,7,7
405,215753,Прежний уровень,премиум,да,5.5,5,191,0.17,Косметика и аксесуары,6,0,4,8
406,215754,Прежний уровень,премиум,да,4.6,3,937,0.14,Домашний текстиль,5,2,4,14
407,215755,Прежний уровень,стандарт,да,4.4,4,216,0.18,Техника для красоты и здоровья,2,3,5,13
408,215756,Прежний уровень,стандарт,нет,5.4,4,923,0.15,Кухонная посуда,2,1,6,10
409,215757,Прежний уровень,стандарт,да,4.9,4,998,0.4,Товары для детей,3,0,2,8
410,215758,Прежний уровень,премиум,да,5.7,5,486,0.15,Мелкая бытовая техника и электроника,4,4,4,9
411,215759,Прежний уровень,премиум,да,3.6,5,589,0.21,Кухонная посуда,3,1,4,6
412,215760,Прежний уровень,премиум,да,3.3,3,949,0.24,Техника для красоты и здоровья,3,2,4,6
413,215761,Прежний уровень,стандарт,нет,5.7,4,565,0.14,Домашний текстиль,5,1,4,12
414,215762,Прежний уровень,стандарт,да,5.3,5,822,0.28,Товары для детей,4,3,2,11
415,215763,Прежний уровень,стандарт,нет,3.7,3,300,0.23,Мелкая бытовая техника и электроника,3,3,4,4
416,215764,Прежний уровень,стандарт,да,4.0,4,539,0.11,Косметика и аксесуары,2,2,5,7
417,215765,Прежний уровень,стандарт,нет,3.9,4,388,0.6,Косметика и аксесуары,4,0,4,8
418,215766,Прежний уровень,стандарт,да,4.3,4,857,0.14,Кухонная посуда,2,1,6,4
419,215767,Прежний уровень,премиум,да,4.1,4,316,0.12,Товары для детей,2,3,4,6
420,215768,Прежний уровень,стандарт,да,4.7,5,744,0.28,Техника для красоты и здоровья,4,0,5,9
421,215769,Прежний уровень,стандарт,нет,3.6,3,553,0.23,Домашний текстиль,5,3,3,10
422,215770,Прежний уровень,стандарт,да,5.4,5,749,0.14,Товары для детей,5,2,4,9
423,215771,Прежний уровень,стандарт,да,5.6,4,272,0.17,Косметика и аксесуары,4,3,4,6
424,215772,Прежний уровень,стандарт,да,4.6,4,321,0.23,Товары для детей,4,2,4,12
425,215773,Прежний уровень,стандарт,да,5.1,5,831,0.12,Косметика и аксесуары,2,1,3,10
426,215774,Прежний уровень,стандарт,да,5.4,3,657,0.11,Техника для красоты и здоровья,2,4,2,9
427,215775,Прежний уровень,стандарт,нет,5.0,4,157,0.15,Мелкая бытовая техника и электроника,5,0,5,13
428,215776,Прежний уровень,стандарт,нет,4.4,4,467,0.15,Техника для красоты и здоровья,2,2,2,10
429,215777,Прежний уровень,премиум,да,4.4,4,849,0.28,Товары для детей,6,2,3,13
430,215778,Прежний уровень,стандарт,да,4.3,4,609,0.24,Товары для детей,4,3,5,15
431,215779,Прежний уровень,премиум,да,4.3,3,242,0.16,Техника для красоты и здоровья,4,5,2,11
432,215780,Прежний уровень,премиум,да,4.1,3,728,0.28,Косметика и аксесуары,4,1,2,5
433,215781,Прежний уровень,премиум,да,4.4,5,937,0.17,Кухонная посуда,5,1,8,6
434,215782,Прежний уровень,стандарт,да,5.2,3,457,0.17,Товары для детей,4,1,5,5
435,215783,Прежний уровень,стандарт,нет,5.5,3,159,0.25,Домашний текстиль,5,3,3,12
436,215784,Прежний уровень,стандарт,да,3.4,4,207,0.3,Домашний текстиль,6,5,4,14
437,215785,Прежний уровень,премиум,да,4.9,4,899,0.24,Домашний текстиль,4,4,2,17
438,215786,Прежний уровень,премиум,да,3.4,4,834,0.13,Техника для красоты и здоровья,3,1,3,7
439,215787,Прежний уровень,стандарт,да,5.3,4,808,0.23,Косметика и аксесуары,3,0,5,7
440,215788,Прежний уровень,стандарт,да,3.3,4,205,0.13,Домашний текстиль,3,2,4,7
441,215789,Прежний уровень,премиум,да,3.6,3,985,0.26,Мелкая бытовая техника и электроника,5,2,8,5
442,215790,Прежний уровень,премиум,да,4.9,3,400,0.13,Мелкая бытовая техника и электроника,2,4,4,12
443,215791,Прежний уровень,премиум,да,5.5,5,634,0.14,Домашний текстиль,3,5,3,11
444,215792,Прежний уровень,стандарт,да,4.1,4,529,0.14,Товары для детей,4,5,7,13
445,215793,Прежний уровень,премиум,да,4.3,4,855,0.16,Домашний текстиль,5,4,2,7
446,215794,Прежний уровень,премиум,да,5.5,4,597,0.15,Косметика и аксесуары,3,4,3,8
447,215795,Прежний уровень,премиум,да,3.9,3,1061,0.16,Мелкая бытовая техника и электроника,3,1,8,8
448,215796,Снизилась,стандарт,нет,6.3,4,527,0.21,Домашний текстиль,5,2,5,10
449,215797,Снизилась,стандарт,нет,4.9,3,414,0.94,Домашний текстиль,6,1,4,7
450,215798,Снизилась,стандарт,да,4.3,5,623,0.24,Мелкая бытовая техника и электроника,2,2,8,12
451,215799,Снизилась,премиум,да,4.3,5,1022,0.28,Техника для красоты и здоровья,4,1,4,9
452,215800,Снизилась,стандарт,да,4.4,4,978,0.28,Кухонная посуда,2,0,3,5
453,215801,Снизилась,стандарт,да,4.0,5,479,0.94,Кухонная посуда,4,4,4,14
454,215802,Снизилась,стандарт,да,3.4,4,698,0.16,Кухонная посуда,4,3,4,11
455,215803,Снизилась,стандарт,да,3.8,4,670,0.28,Товары для детей,4,4,7,9
456,215804,Снизилась,стандарт,да,3.3,5,673,0.99,Товары для детей,3,2,1,7
457,215805,Снизилась,стандарт,нет,4.1,4,808,0.15,Мелкая бытовая техника и электроника,4,2,3,13
458,215806,Снизилась,стандарт,нет,5.8,3,660,0.16,Товары для детей,4,1,3,12
459,215807,Снизилась,стандарт,да,5.5,5,503,0.2,Домашний текстиль,5,5,2,6
460,215808,Снизилась,стандарт,да,4.0,4,417,0.25,Товары для детей,5,5,5,11
461,215809,Снизилась,премиум,да,3.9,3,208,0.24,Косметика и аксесуары,5,2,4,8
462,215810,Снизилась,стандарт,нет,4.4,4,417,0.23,Товары для детей,3,0,6,10
463,215811,Снизилась,премиум,да,3.2,5,786,0.25,Косметика и аксесуары,4,0,8,14
464,215812,Снизилась,стандарт,нет,3.3,3,563,0.12,Домашний текстиль,4,1,5,16
465,215813,Снизилась,стандарт,да,3.6,5,446,0.17,Домашний текстиль,6,2,4,12
466,215814,Снизилась,премиум,да,3.6,4,296,0.15,Домашний текстиль,3,5,2,15
467,215815,Снизилась,стандарт,да,4.9,5,339,0.24,Косметика и аксесуары,3,2,4,12
468,215816,Снизилась,стандарт,нет,5.7,5,495,0.25,Косметика и аксесуары,4,3,4,3
469,215817,Снизилась,стандарт,да,3.3,4,320,0.28,Домашний текстиль,5,4,3,13
470,215818,Снизилась,стандарт,да,4.6,5,121,0.3,Кухонная посуда,4,5,3,11
471,215819,Снизилась,стандарт,нет,3.2,3,609,0.29,Товары для детей,5,3,2,11
472,215820,Снизилась,стандарт,да,4.0,4,955,0.95,Товары для детей,4,4,7,11
473,215821,Снизилась,стандарт,да,4.7,5,508,0.28,Косметика и аксесуары,4,3,5,9
474,215822,Снизилась,премиум,да,4.4,4,633,0.14,Товары для детей,3,4,2,17
475,215823,Снизилась,стандарт,нет,5.0,5,234,0.23,Техника для красоты и здоровья,5,1,7,13
476,215824,Снизилась,стандарт,нет,3.9,5,852,0.21,Косметика и аксесуары,3,0,2,7
477,215825,Снизилась,премиум,да,4.3,4,951,0.2,Домашний текстиль,3,3,4,10
478,215826,Снизилась,стандарт,да,4.6,4,177,0.24,Косметика и аксесуары,3,2,7,14
479,215827,Снизилась,стандарт,да,4.6,3,641,0.3,Косметика и аксесуары,4,1,5,6
480,215828,Снизилась,стандарт,да,5.3,4,191,0.3,Товары для детей,4,4,3,16
481,215829,Снизилась,стандарт,да,4.9,4,600,0.13,Товары для детей,4,4,5,7
482,215830,Снизилась,стандарт,да,5.1,5,185,0.18,Кухонная посуда,4,5,5,14
483,215831,Снизилась,премиум,да,4.1,3,1030,0.23,Домашний текстиль,4,2,6,4
484,215832,Снизилась,стандарт,нет,4.1,3,206,0.99,Товары для детей,4,4,3,4
485,215833,Снизилась,стандарт,да,4.8,4,410,0.17,Домашний текстиль,6,2,7,9
486,215834,Снизилась,премиум,да,3.8,4,629,0.14,Техника для красоты и здоровья,4,1,7,16
487,215835,Снизилась,стандарт,да,3.5,3,370,0.25,Товары для детей,2,2,4,9
488,215836,Снизилась,стандарт,да,4.8,4,823,0.13,Техника для красоты и здоровья,2,4,5,7
489,215837,Снизилась,премиум,да,4.9,3,888,0.14,Техника для красоты и здоровья,3,1,6,9
490,215838,Снизилась,стандарт,нет,6.3,4,582,0.14,Косметика и аксесуары,5,1,6,13
491,215839,Снизилась,премиум,да,2.6,4,1048,0.14,Техника для красоты и здоровья,3,0,2,12
492,215840,Снизилась,стандарт,да,3.9,5,869,0.24,Кухонная посуда,5,1,4,11
493,215841,Снизилась,стандарт,да,6.3,4,320,0.12,Мелкая бытовая техника и электроника,5,4,4,10
494,215842,Снизилась,премиум,да,4.3,3,1036,0.94,Товары для детей,4,2,3,9
495,215843,Снизилась,стандарт,да,5.5,3,930,0.14,Техника для красоты и здоровья,5,1,6,10
496,215844,Снизилась,премиум,да,4.3,4,1041,0.99,Кухонная посуда,4,1,6,6
497,215845,Снизилась,стандарт,да,4.7,4,608,0.95,Техника для красоты и здоровья,5,1,2,10
498,215846,Прежний уровень,стандарт,нет,5.7,4,169,0.14,Техника для красоты и здоровья,2,1,4,12
499,215847,Прежний уровень,стандарт,да,4.7,5,966,0.15,Товары для детей,3,1,8,15
500,215848,Прежний уровень,премиум,да,5.4,5,645,0.28,Мелкая бытовая техника и электроника,3,3,4,10
501,215849,Прежний уровень,стандарт,да,4.9,4,399,0.25,Товары для детей,4,3,3,5
502,215850,Прежний уровень,стандарт,да,5.4,4,267,0.15,Техника для красоты и здоровья,5,1,1,7
503,215851,Прежний уровень,стандарт,да,4.1,4,530,0.26,Домашний текстиль,2,5,4,13
504,215852,Прежний уровень,стандарт,да,5.8,3,478,0.24,Домашний текстиль,5,5,4,8
505,215853,Прежний уровень,премиум,да,3.3,4,890,0.11,Косметика и аксесуары,4,1,3,11
506,215854,Прежний уровень,стандарт,нет,6.6,3,830,0.14,Товары для детей,3,0,6,10
507,215855,Прежний уровень,стандарт,да,5.5,5,149,0.2,Кухонная посуда,3,2,6,6
508,215856,Прежний уровень,стандарт,да,4.3,4,543,0.17,Техника для красоты и здоровья,6,3,5,11
509,215857,Прежний уровень,премиум,да,4.3,4,667,0.28,Мелкая бытовая техника и электроника,3,0,4,13
510,215858,Прежний уровень,стандарт,да,5.5,4,510,0.15,Мелкая бытовая техника и электроника,2,4,7,16
511,215859,Прежний уровень,премиум,да,4.4,3,1049,0.14,Товары для детей,3,2,3,11
512,215860,Прежний уровень,стандарт,да,5.5,5,242,0.21,Кухонная посуда,5,4,4,11
513,215861,Прежний уровень,стандарт,да,4.5,4,908,0.13,Товары для детей,5,4,5,7
514,215862,Прежний уровень,стандарт,да,5.8,4,408,0.16,Мелкая бытовая техника и электроника,4,2,3,12
515,215863,Прежний уровень,стандарт,нет,4.6,4,900,0.16,Мелкая бытовая техника и электроника,5,0,8,8
516,215864,Прежний уровень,стандарт,да,5.8,4,490,0.16,Мелкая бытовая техника и электроника,2,4,5,16
517,215865,Прежний уровень,стандарт,нет,4.3,5,401,0.28,Техника для красоты и здоровья,5,0,4,10
518,215866,Прежний уровень,стандарт,да,3.3,4,945,0.24,Домашний текстиль,3,3,4,13
519,215867,Прежний уровень,стандарт,да,5.4,4,777,0.25,Техника для красоты и здоровья,2,3,6,14
520,215868,Прежний уровень,стандарт,да,4.9,5,851,0.11,Косметика и аксесуары,3,0,4,9
521,215869,Прежний уровень,стандарт,да,5.4,4,559,0.17,Домашний текстиль,5,5,5,12
522,215870,Прежний уровень,стандарт,да,5.7,4,803,0.25,Домашний текстиль,5,4,6,5
523,215871,Прежний уровень,премиум,нет,4.8,3,675,0.11,Кухонная посуда,2,1,7,4
524,215872,Прежний уровень,стандарт,нет,5.1,4,490,0.17,Домашний текстиль,3,4,5,14
525,215873,Прежний уровень,стандарт,да,4.2,4,769,0.11,Товары для детей,6,1,2,11
526,215874,Прежний уровень,стандарт,да,4.1,5,626,0.15,Техника для красоты и здоровья,4,2,4,16
527,215875,Прежний уровень,стандарт,нет,4.7,4,203,0.28,Косметика и аксесуары,3,2,6,10
528,215876,Прежний уровень,премиум,да,3.8,4,280,0.32,Косметика и аксесуары,3,4,5,12
529,215877,Прежний уровень,стандарт,да,4.1,4,349,0.17,Мелкая бытовая техника и электроника,6,5,4,9
530,215878,Прежний уровень,стандарт,да,4.4,5,540,0.25,Товары для детей,3,2,1,12
531,215879,Прежний уровень,стандарт,нет,5.3,4,476,0.3,Техника для красоты и здоровья,2,0,7,8
532,215880,Прежний уровень,премиум,да,4.3,5,897,0.3,Мелкая бытовая техника и электроника,4,4,2,11
533,215881,Прежний уровень,стандарт,да,5.1,3,709,0.3,Товары для детей,5,1,6,9
534,215882,Прежний уровень,стандарт,да,4.2,4,260,0.17,Мелкая бытовая техника и электроника,3,2,5,13
535,215883,Прежний уровень,стандарт,да,4.0,4,852,0.13,Товары для детей,3,0,6,7
536,215884,Прежний уровень,стандарт,да,4.3,5,997,0.17,Мелкая бытовая техника и электроника,5,1,3,11
537,215885,Прежний уровень,стандарт,да,5.5,4,625,0.16,Косметика и аксесуары,3,3,7,5
538,215886,Прежний уровень,стандарт,да,4.2,4,187,0.17,Мелкая бытовая техника и электроника,5,3,3,14
539,215887,Прежний уровень,стандарт,нет,4.6,4,213,0.24,Домашний текстиль,6,3,9,11
540,215888,Прежний уровень,стандарт,нет,5.2,3,228,0.11,Техника для красоты и здоровья,6,1,2,5
541,215889,Прежний уровень,премиум,да,5.5,4,602,0.18,Товары для детей,2,3,6,11
542,215890,Прежний уровень,стандарт,да,4.4,5,870,0.3,Мелкая бытовая техника и электроника,6,2,3,15
543,215891,Прежний уровень,стандарт,да,4.8,4,795,0.21,Домашний текстиль,4,5,7,16
544,215892,Прежний уровень,стандарт,да,5.8,4,442,0.17,Мелкая бытовая техника и электроника,3,3,3,6
545,215893,Прежний уровень,стандарт,нет,4.4,4,639,0.13,Мелкая бытовая техника и электроника,2,4,2,10
546,215894,Снизилась,стандарт,да,3.6,4,785,0.3,Мелкая бытовая техника и электроника,2,1,3,11
547,215895,Снизилась,стандарт,нет,4.4,5,517,0.23,Товары для детей,1,2,5,11
548,215896,Снизилась,стандарт,нет,4.3,4,460,0.16,Техника для красоты и здоровья,2,1,3,6
549,215897,Снизилась,стандарт,да,3.9,4,627,0.24,Товары для детей,3,3,7,8
550,215898,Снизилась,стандарт,да,5.5,4,703,0.14,Мелкая бытовая техника и электроника,2,1,3,7
551,215899,Снизилась,стандарт,нет,5.0,4,136,0.27,Товары для детей,3,4,4,17
552,215900,Снизилась,стандарт,да,4.8,4,907,0.3,Косметика и аксесуары,2,1,1,6
553,215901,Снизилась,стандарт,нет,3.9,5,600,0.17,Домашний текстиль,1,7,4,10
554,215902,Снизилась,стандарт,да,3.3,3,871,0.2,Техника для красоты и здоровья,2,4,2,17
555,215903,Снизилась,стандарт,да,5.6,5,574,0.28,Домашний текстиль,3,2,3,9
556,215904,Снизилась,премиум,да,5.5,5,982,0.94,Мелкая бытовая техника и электроника,3,1,8,10
557,215905,Снизилась,стандарт,да,4.3,4,324,0.14,Техника для красоты и здоровья,2,7,4,4
558,215906,Снизилась,стандарт,да,5.2,5,373,0.14,Домашний текстиль,1,4,3,8
559,215907,Снизилась,стандарт,да,6.6,3,839,0.24,Косметика и аксесуары,3,3,4,15
560,215908,Снизилась,премиум,нет,4.0,4,845,0.12,Домашний текстиль,2,7,6,5
561,215909,Снизилась,премиум,да,4.9,4,475,0.94,Косметика и аксесуары,2,3,5,10
562,215910,Снизилась,стандарт,нет,3.9,3,509,0.95,Косметика и аксесуары,2,6,4,5
563,215911,Снизилась,стандарт,нет,5.4,4,252,0.25,Косметика и аксесуары,3,4,5,11
564,215912,Снизилась,премиум,да,3.3,3,835,0.26,Товары для детей,4,2,4,9
565,215913,Снизилась,стандарт,нет,4.0,4,243,0.21,Косметика и аксесуары,2,2,6,13
566,215914,Снизилась,стандарт,да,3.6,4,641,0.24,Домашний текстиль,4,5,5,15
567,215915,Снизилась,стандарт,да,4.7,3,684,0.14,Техника для красоты и здоровья,3,4,4,7
568,215916,Снизилась,премиум,да,4.3,3,881,0.16,Техника для красоты и здоровья,2,2,5,11
569,215917,Снизилась,стандарт,да,4.0,3,786,0.13,Домашний текстиль,2,2,4,12
570,215918,Снизилась,стандарт,нет,4.7,4,658,0.13,Домашний текстиль,3,1,5,10
571,215919,Снизилась,премиум,да,4.3,3,384,0.21,Мелкая бытовая техника и электроника,2,3,2,4
